Wall time,Step,Value
1716072726.0437272,1000,-142.93333435058594
1716072844.6866443,2000,-138.97132873535156
1716073000.6813953,3000,-131.6133270263672
1716073115.0087345,4000,-125.23966979980469
1716073232.858676,5000,-126.08186340332031
1716073347.6224182,6000,-129.19288635253906
1716073458.4129465,7000,-132.67161560058594
1716073577.9209013,8000,-135.2451629638672
1716073696.5990531,9000,-137.79733276367188
1716073816.867319,10000,-140.45199584960938
1716073905.5183647,11000,-143.55430603027344
1716074015.0612276,12000,-146.31365966796875
1716074137.7764616,13000,-148.68954467773438
1716074244.9247086,14000,-150.9292449951172
1716074352.1784146,15000,-153.21395874023438
1716074460.1779237,16000,-155.06307983398438
1716074578.0405722,17000,-156.50204467773438
1716074692.6166556,18000,-157.8593292236328
1716074811.1753137,19000,-159.01760864257812
1716074931.8300264,20000,-160.0750732421875
1716075047.5027094,21000,-162.10366821289062
1716075161.6457915,22000,-164.27293395996094
1716075278.986313,23000,-167.46139526367188
1716075400.591958,24000,-170.94293212890625
1716075528.8476791,25000,-173.47706604003906
1716075641.786171,26000,-175.22479248046875
1716075754.3493247,27000,-176.59426879882812
1716075869.877163,28000,-177.81793212890625
1716075983.353489,29000,-178.7538604736328
1716076094.2405944,30000,-179.18980407714844
1716076207.1457067,31000,-179.36827087402344
1716076319.0742455,32000,-179.20440673828125
1716076431.3545165,33000,-179.11106872558594
1716076543.7843618,34000,-178.99620056152344
1716076654.4220202,35000,-178.7295379638672
1716076826.3483148,36000,-178.39300537109375
1716077196.6092465,37000,-178.396728515625
1716077346.7418458,38000,-178.62339782714844
1716077480.0331433,39000,-179.02133178710938
1716077620.8965123,40000,-179.29966735839844
1716077745.2813215,41000,-179.63772583007812
1716077871.5117824,42000,-180.15133666992188
1716077990.4814665,43000,-180.4846649169922
1716078116.644536,44000,-180.9571990966797
1716078235.9477127,45000,-181.15719604492188
1716078352.0345657,46000,-181.0410614013672
1716078470.5757935,47000,-180.86627197265625
1716078597.3304791,48000,-180.82626342773438
1716078735.7340937,49000,-180.98626708984375
1716078866.731633,50000,-181.31314086914062
1716078982.7894895,51000,-181.37393188476562
1716079103.0947475,52000,-181.76446533203125
1716079221.9358058,53000,-182.15113830566406
1716079339.2908666,54000,-182.3887939453125
1716079456.6009145,55000,-182.32347106933594
1716079576.3619132,56000,-182.4066619873047
1716079693.2393367,57000,-182.47332763671875
1716079810.1810746,58000,-182.4066619873047
1716079928.3467896,59000,-182.3287353515625
1716080067.6585286,60000,-182.35740661621094
1716080192.7041225,61000,-182.3707275390625
1716080348.2861016,62000,-182.3307342529297
1716080480.1656106,63000,-182.08706665039062
1716080614.582615,64000,-181.84706115722656
1716080759.844751,65000,-181.66526794433594
1716080893.3499844,66000,-182.0029296875
1716081022.491911,67000,-182.20567321777344
1716081142.692153,68000,-182.49899291992188
1716081268.8538651,69000,-182.69900512695312
1716081394.9944644,70000,-182.9256591796875
1716081515.9938822,71000,-183.28419494628906
1716081637.5476055,72000,-183.52420043945312
1716081754.0923896,73000,-183.61753845214844
1716081879.8595197,74000,-183.65325927734375
1716082001.4633336,75000,-183.8814697265625
1716082123.9033155,76000,-184.119873046875
1716082252.6766546,77000,-184.18026733398438
1716082384.7976522,78000,-184.06027221679688
1716082513.2940524,79000,-183.9002685546875
1716082645.2917912,80000,-183.81826782226562
1716082764.6923206,81000,-183.6871337890625
1716082885.3186219,82000,-183.50047302246094
1716083032.0933816,83000,-183.50413513183594
1716083161.341078,84000,-183.51747131347656
1716083276.8974328,85000,-183.6992645263672
1716083392.172094,86000,-183.71473693847656
1716083507.7522528,87000,-183.74313354492188
1716083626.1200879,88000,-183.4463348388672
1716083744.95893,89000,-183.1929931640625
1716083863.1498718,90000,-183.01966857910156
1716083981.2529638,91000,-182.96633911132812
1716084100.874625,92000,-182.96633911132812
1716084231.295802,93000,-183.06739807128906
1716084355.090974,94000,-183.08360290527344
1716084475.4030626,95000,-182.86740112304688
1716084596.4039326,96000,-182.45713806152344
1716084715.9146724,97000,-182.396728515625
1716084835.706064,98000,-182.53453063964844
1716084953.7005634,99000,-182.35946655273438
1716085071.1798804,100000,-182.23947143554688
