Wall time,Step,Value
1716072798.888468,1000,-158.89999389648438
1716072897.071294,2000,-149.84266662597656
1716072994.5198112,3000,-139.81689453125
1716073093.2164469,4000,-136.56832885742188
1716073198.135818,5000,-135.75120544433594
1716073296.223464,6000,-137.3915557861328
1716073394.882412,7000,-140.15313720703125
1716073975.7418299,8000,-141.95567321777344
1716074111.018553,9000,-144.15940856933594
1716074217.9843998,10000,-146.3343963623047
1716074316.791656,11000,-148.63551330566406
1716074414.906257,12000,-151.12289428710938
1716074519.352716,13000,-153.29405212402344
1716074616.449815,14000,-155.36752319335938
1716074713.493901,15000,-157.10426330566406
1716074817.624568,16000,-158.42507934570312
1716074915.9374201,17000,-159.53968811035156
1716075013.84195,18000,-160.4844512939453
1716075113.568824,19000,-161.54666137695312
1716075214.9878678,20000,-162.4441375732422
1716075313.1081011,21000,-163.93772888183594
1716075410.7387881,22000,-166.01800537109375
1716075489.135707,23000,-169.15640258789062
1716075566.924383,24000,-171.88406372070312
1716075644.3370738,25000,-174.4105987548828
1716075723.3856452,26000,-176.34046936035156
1716075804.515986,27000,-177.38699340820312
1716075882.20957,28000,-178.61166381835938
1716075958.571745,29000,-179.68887329101562
1716076046.604512,30000,-180.2599334716797
1716076123.763206,31000,-180.6140594482422
1716076200.936173,32000,-180.70986938476562
1716076279.322057,33000,-180.85580444335938
1716076359.7188962,34000,-180.90846252441406
1716076436.091886,35000,-180.84906005859375
1716076515.412259,36000,-180.76393127441406
1716076598.0492768,37000,-180.74673461914062
1716076676.633143,38000,-180.87106323242188
1716076756.542825,39000,-181.04440307617188
1716078122.786876,40000,-181.43626403808594
1716078204.995218,41000,-181.50152587890625
1716078318.758537,42000,-181.64385986328125
1716078420.831326,43000,-181.55160522460938
1716078528.786718,44000,-181.58279418945312
1716078638.8353112,45000,-181.6121368408203
1716078743.198603,46000,-181.4506072998047
1716078843.776872,47000,-181.61526489257812
1716078945.100799,48000,-181.762939453125
1716079057.034255,49000,-181.67706298828125
1716079158.320064,50000,-182.13720703125
1716079259.138377,51000,-182.3807373046875
1716079361.682382,52000,-182.3165283203125
1716079461.812434,53000,-182.18446350097656
1716079571.270352,54000,-181.98233032226562
1716079682.7588532,55000,-181.8624725341797
1716079790.5164511,56000,-182.14906311035156
1716079895.062724,57000,-182.51812744140625
1716080005.30465,58000,-182.7595977783203
1716080094.160613,59000,-182.47987365722656
1716080172.148559,60000,-182.11546325683594
1716080258.2601569,61000,-182.11160278320312
1716080338.676618,62000,-182.28306579589844
1716080416.021744,63000,-182.58200073242188
1716080494.8396318,64000,-182.69766235351562
1716080578.670424,65000,-182.60086059570312
1716080656.51503,66000,-182.78619384765625
1716080734.414986,67000,-182.9249267578125
1716080816.6609228,68000,-183.12393188476562
1716080901.746797,69000,-183.3431396484375
1716080981.130037,70000,-183.3831329345703
1716081060.228011,71000,-183.51646423339844
1716081141.477663,72000,-183.6517333984375
1716081222.4477172,73000,-183.87713623046875
1716081301.7024121,74000,-184.13046264648438
1716081382.2889018,75000,-184.34706115722656
1716081471.186253,76000,-184.4467315673828
1716081550.146754,77000,-184.606201171875
1716081630.035784,78000,-184.7998046875
1716081711.3323321,79000,-184.94647216796875
1716081796.828289,80000,-184.841064453125
1716081885.867858,81000,-184.6569366455078
1716081970.5083919,82000,-184.37693786621094
1716082058.510926,83000,-184.0635986328125
1716082139.6679869,84000,-183.9212646484375
1716082219.931169,85000,-183.9053955078125
1716082301.006649,86000,-183.8253936767578
1716082383.940129,87000,-183.64639282226562
1716082464.1561768,88000,-183.3863983154297
1716082545.795881,89000,-183.20120239257812
1716082635.968887,90000,-183.2278594970703
1716082717.152941,91000,-183.29454040527344
1716082799.855415,92000,-183.47659301757812
1716082879.585251,93000,-183.4290008544922
1716082967.266499,94000,-183.3556671142578
1716083048.554734,95000,-183.52073669433594
1716083142.285634,96000,-183.56333923339844
1716083264.2949371,97000,-183.5500030517578
1716083347.888305,98000,-183.43679809570312
1716083431.2010171,99000,-183.58599853515625
1716083526.402008,100000,-184.05580139160156
