Wall time,Step,Value
1716079945.833858,4000,-138.9040069580078
1716079996.430154,8000,-128.90916442871094
1716080046.683336,12000,-127.79155731201172
1716080096.075989,16000,-127.87008666992188
1716080146.254827,20000,-129.12747192382812
1716080195.225394,24000,-129.6262664794922
1716080243.8916538,28000,-128.66200256347656
1716080285.766312,32000,-128.67626953125
1716080390.4977028,36000,-127.70173645019531
1716080433.189195,40000,-127.12213134765625
1716080474.962507,44000,-125.3302001953125
1716080517.294326,48000,-125.51333618164062
1716080637.478983,52000,-126.23853302001953
1716080680.829758,56000,-124.30280303955078
1716080722.594752,60000,-123.04426574707031
1716080766.43519,64000,-122.841064453125
1716080811.330385,68000,-126.27293395996094
1716080855.74753,72000,-125.69619750976562
1716080900.2937841,76000,-126.52213287353516
1716080947.949739,80000,-126.66973114013672
1716080994.948095,84000,-127.55613708496094
1716081038.8770041,88000,-125.50106811523438
1716081081.233938,92000,-126.41919708251953
1716081123.070736,96000,-126.1495361328125
1716081986.375472,100000,-126.67939758300781
1716083156.188261,104000,-127.3858642578125
1716083206.8217652,108000,-128.17092895507812
1716083256.243977,112000,-127.19173431396484
1716083299.1653109,116000,-129.1814727783203
1716083341.084952,120000,-130.71620178222656
1716083383.403722,124000,-130.6475372314453
1716083993.6929972,128000,-131.15834045410156
1716084036.1000729,132000,-134.5048065185547
1716084077.871259,136000,-136.8314666748047
1716084119.8091688,140000,-136.39553833007812
1716085600.026329,144000,-137.48452758789062
1716086162.389378,148000,-138.90733337402344
1716086204.981539,152000,-136.81387329101562
1716086247.036758,156000,-133.3708038330078
1716086288.916432,160000,-132.3574676513672
1716086331.327769,164000,-131.11965942382812
1716086373.470449,168000,-129.39419555664062
1716086415.507392,172000,-128.91546630859375
1716086457.91285,176000,-129.8973388671875
1716086499.8720992,180000,-132.3489990234375
1716086542.2604558,184000,-132.1233367919922
1716086584.239212,188000,-130.5599365234375
1716086625.944711,192000,-130.15086364746094
1716086667.8671649,196000,-129.73753356933594
1716086709.887697,200000,-127.25846862792969
1716086757.295767,204000,-127.8544692993164
1716086799.3385348,208000,-129.7107391357422
1716086841.149549,212000,-130.09280395507812
1716086883.05366,216000,-129.39093017578125
1716086924.741355,220000,-129.45852661132812
1716086966.495661,224000,-127.9217300415039
1716087008.411401,228000,-128.23699951171875
1716087959.4853709,232000,-128.19386291503906
1716088000.8935392,236000,-130.17880249023438
1716088042.283515,240000,-130.9954071044922
1716088217.6376698,244000,-132.9174041748047
1716088259.307859,248000,-132.86013793945312
1716088302.411435,252000,-132.68846130371094
1716089345.736823,256000,-133.63107299804688
1716089387.6303308,260000,-134.4203338623047
1716089429.3352342,264000,-133.86087036132812
1716090520.673015,268000,-134.08267211914062
1716090562.187233,272000,-136.47586059570312
1716090603.540573,276000,-137.19000244140625
1716091366.412818,280000,-134.41400146484375
1716091410.528146,284000,-133.08700561523438
1716091452.6158662,288000,-133.34767150878906
1716091494.847935,292000,-131.10299682617188
1716091536.794337,296000,-129.80126953125
1716091578.580031,300000,-131.65992736816406
1716091620.615217,304000,-134.35353088378906
1716091662.645865,308000,-135.6517333984375
1716091704.590807,312000,-136.9402618408203
1716091746.694394,316000,-136.0911407470703
1716091788.955179,320000,-136.4167938232422
1716091830.804756,324000,-135.28146362304688
1716091873.122705,328000,-133.00746154785156
1716091915.0189078,332000,-130.97006225585938
1716091956.791117,336000,-132.6565399169922
1716091998.881539,340000,-132.75633239746094
1716092041.015167,344000,-132.51632690429688
1716092083.158128,348000,-131.76187133789062
1716092125.378443,352000,-132.38546752929688
1716092167.556515,356000,-130.15232849121094
1716092209.214684,360000,-129.94113159179688
1716092250.850803,364000,-130.16586303710938
1716092292.74502,368000,-131.8907928466797
1716092334.738181,372000,-131.36627197265625
1716092376.622348,376000,-132.1563262939453
1716092418.3589141,380000,-134.10079956054688
1716092472.925812,384000,-134.46893310546875
1716092516.51165,388000,-131.76927185058594
1716092558.5713348,392000,-132.97607421875
1716092600.3011022,396000,-134.16107177734375
1716092642.442803,400000,-133.2271270751953
