Wall time,Step,Value
1716076568.7264771,4000,-141.77467346191406
1716076616.4982212,8000,-125.48483276367188
1716076668.136988,12000,-125.072998046875
1716076718.878378,16000,-123.25466918945312
1716076767.990071,20000,-124.05513000488281
1716076821.1591208,24000,-122.07779693603516
1716076875.511474,28000,-123.68073272705078
1716076927.2248561,32000,-122.94840240478516
1716076983.429842,36000,-122.10453033447266
1716077035.967744,40000,-123.37139892578125
1716077088.708617,44000,-121.6806640625
1716077166.028789,48000,-123.69779968261719
1716077224.9417338,52000,-121.76806640625
1716077283.01362,56000,-124.64386749267578
1716077342.41398,60000,-122.55580139160156
1716077439.708844,64000,-124.5069351196289
1716077540.84001,68000,-121.3376693725586
1716077608.690233,72000,-122.63379669189453
1716077663.41303,76000,-120.45559692382812
1716077724.678553,80000,-120.08366394042969
1716077796.648764,84000,-119.00706481933594
1716077945.857806,88000,-118.49873352050781
1716078053.453599,92000,-119.9530029296875
1716078122.632908,96000,-118.93586730957031
1716078176.642595,100000,-119.25959777832031
1716078236.9381042,104000,-119.66220092773438
1716078378.424107,108000,-121.52899932861328
1716078475.746727,112000,-123.23706817626953
1716078539.9895701,116000,-126.28993225097656
1716078707.9805381,120000,-129.41172790527344
1716078844.401011,124000,-128.68600463867188
1716078924.435183,128000,-130.0132598876953
1716079049.6746619,132000,-130.23899841308594
1716079137.4413362,136000,-130.17213439941406
1716079253.428981,140000,-129.36180114746094
1716079420.674957,144000,-130.9438018798828
1716079534.152867,148000,-129.6735382080078
1716079695.644456,152000,-127.81466674804688
1716079848.409971,156000,-125.01300048828125
1716079919.875493,160000,-123.46820068359375
1716080058.227139,164000,-124.23033142089844
1716080240.887197,168000,-125.74579620361328
1716080359.7420192,172000,-125.26293182373047
1716080405.811044,176000,-128.48260498046875
1716080512.125222,180000,-128.68846130371094
1716080663.799563,184000,-128.35093688964844
1716080733.70517,188000,-130.1511993408203
1716080803.615902,192000,-132.4998016357422
1716080914.9751658,196000,-132.2205352783203
1716080995.281398,200000,-132.64520263671875
1716081075.649608,204000,-131.35887145996094
1716081141.6615932,208000,-129.6329345703125
1716081325.28404,212000,-129.2823944091797
1716081373.174919,216000,-130.84027099609375
1716081481.274104,220000,-129.9323272705078
1716081713.2317529,224000,-129.9246063232422
1716081760.700832,228000,-130.6312713623047
1716081854.7068238,232000,-130.53106689453125
1716082060.725537,236000,-126.43993377685547
1716082192.757028,240000,-127.93473052978516
1716082285.7410848,244000,-127.25386810302734
1716082370.692806,248000,-129.6981964111328
1716082433.250773,252000,-129.31793212890625
1716082586.469624,256000,-131.89239501953125
1716082711.684316,260000,-131.9234619140625
1716082853.543638,264000,-133.033203125
1716082918.53872,268000,-127.69879913330078
1716083208.89252,272000,-125.23179626464844
1716083258.6157491,276000,-124.15879821777344
1716083307.658703,280000,-125.23186492919922
1716083367.224405,284000,-125.80853271484375
1716083533.040677,288000,-127.26353454589844
1716083869.92007,292000,-129.95567321777344
1716084078.400175,296000,-131.74819946289062
1716084155.3785222,300000,-130.33172607421875
1716084350.601059,304000,-130.77420043945312
1716085088.8854022,308000,-130.2252655029297
1716085140.639771,312000,-127.4621353149414
1716085189.9736278,316000,-127.53406524658203
1716085242.2450418,320000,-126.56226348876953
1716085355.9098911,324000,-125.06340026855469
1716085405.764205,328000,-126.4041976928711
1716085477.396859,332000,-128.27012634277344
1716085651.696491,336000,-126.76526641845703
1716085760.699718,340000,-126.29153442382812
1716085930.872588,344000,-128.45826721191406
1716085978.7050219,348000,-130.37559509277344
1716086112.997568,352000,-128.86846923828125
1716086596.4051552,356000,-129.86306762695312
1716086646.05854,360000,-132.52853393554688
1716086712.439739,364000,-132.69973754882812
1716086804.063262,368000,-130.35873413085938
1716086860.762434,372000,-131.67599487304688
1716086911.505613,376000,-127.9715347290039
1716086960.953973,380000,-128.3155975341797
1716087014.287719,384000,-127.93993377685547
1716087065.675615,388000,-130.41226196289062
1716087116.79408,392000,-132.89573669433594
1716087170.210094,396000,-135.0693359375
1716087223.86225,400000,-133.28399658203125
